device_id,anomaly_score,mfa,vpn,firewall
EdgeCam_2,0.124,0,1,0
EdgeCam_1,0.976,0,0,1
EdgeCam_2,0.444,1,0,0
EdgeCam_4,0.812,1,0,0
EdgeCam_5,0.905,0,0,1
EdgeCam_2,0.628,0,1,0
EdgeCam_4,0.128,0,0,0
EdgeCam_2,0.083,1,1,0
EdgeCam_2,0.579,1,0,1
EdgeCam_3,0.192,0,0,0
EdgeCam_1,0.741,0,1,0
EdgeCam_2,0.646,1,1,0
EdgeCam_1,0.922,1,1,0
EdgeCam_2,0.597,1,1,1
EdgeCam_4,0.013,0,1,0
EdgeCam_5,0.516,0,0,1
EdgeCam_1,0.115,0,0,1
EdgeCam_3,0.582,0,1,0
EdgeCam_1,0.635,1,1,1
EdgeCam_5,0.717,0,0,0
EdgeCam_2,0.727,1,0,1
EdgeCam_2,0.132,1,0,1
EdgeCam_1,0.111,1,1,1
EdgeCam_5,0.148,0,1,0
EdgeCam_2,0.306,1,1,1
EdgeCam_4,0.082,0,0,1
EdgeCam_1,0.463,0,1,0
EdgeCam_1,0.485,0,1,1
EdgeCam_1,0.4,0,0,0
EdgeCam_4,0.708,1,1,0
EdgeCam_4,0.017,0,1,0
EdgeCam_3,0.207,1,0,1
EdgeCam_4,0.941,1,1,0
EdgeCam_5,0.696,1,0,1
EdgeCam_4,0.302,0,1,1
EdgeCam_4,0.253,1,0,0
EdgeCam_2,0.873,0,0,1
EdgeCam_3,0.981,1,0,0
EdgeCam_5,0.67,0,1,0
EdgeCam_1,0.716,0,1,0
EdgeCam_1,0.855,0,0,0
EdgeCam_4,0.456,1,1,0
EdgeCam_2,0.072,0,0,0
EdgeCam_5,0.554,0,1,0
EdgeCam_1,0.087,1,0,0
EdgeCam_2,0.988,0,0,1
EdgeCam_3,0.003,0,0,0
EdgeCam_4,0.063,0,0,1
EdgeCam_1,0.952,1,0,0
EdgeCam_3,0.513,1,0,0
EdgeCam_3,0.935,1,0,1
EdgeCam_4,0.458,1,1,1
EdgeCam_4,0.753,0,1,1
EdgeCam_4,0.652,0,1,0
EdgeCam_1,0.96,0,0,1
EdgeCam_3,0.636,1,0,0
EdgeCam_4,0.236,0,0,0
EdgeCam_4,0.477,0,1,0
EdgeCam_5,0.712,0,1,0
EdgeCam_3,0.497,1,1,0
EdgeCam_5,0.435,1,0,0
EdgeCam_2,0.954,1,0,1
EdgeCam_1,0.165,0,1,0
EdgeCam_3,0.623,1,0,0
EdgeCam_4,0.302,0,0,0
EdgeCam_2,0.928,1,1,0
EdgeCam_2,0.012,1,0,1
EdgeCam_1,0.242,1,0,0
EdgeCam_2,0.131,1,1,1
EdgeCam_2,0.436,0,0,0
EdgeCam_1,0.763,1,0,0
EdgeCam_5,0.392,1,1,1
EdgeCam_3,0.225,0,0,1
EdgeCam_5,0.829,0,1,1
EdgeCam_5,0.785,1,1,0
EdgeCam_5,0.542,1,0,1
EdgeCam_2,0.161,0,0,1
EdgeCam_3,0.511,1,0,1
EdgeCam_2,0.905,1,0,1
EdgeCam_5,0.869,0,0,0
EdgeCam_2,0.474,0,0,1
EdgeCam_3,0.677,1,1,1
EdgeCam_5,0.431,1,1,1
EdgeCam_4,0.299,0,0,1
EdgeCam_1,0.22,0,1,0
EdgeCam_2,0.205,1,0,0
EdgeCam_5,0.057,1,1,0
EdgeCam_4,0.995,0,0,1
EdgeCam_2,0.354,0,0,0
EdgeCam_4,0.152,0,0,1
EdgeCam_4,0.82,0,1,0
EdgeCam_2,0.819,0,0,1
EdgeCam_1,0.971,0,0,1
EdgeCam_1,0.455,1,0,1
EdgeCam_5,0.769,1,0,0
EdgeCam_3,0.394,1,0,0
EdgeCam_5,0.975,1,0,1
EdgeCam_1,0.933,1,1,1
EdgeCam_3,0.647,0,0,1
EdgeCam_2,0.729,1,0,1
EdgeCam_1,0.691,0,1,0
EdgeCam_1,0.438,1,0,0
EdgeCam_2,0.506,0,1,0
EdgeCam_5,0.428,0,0,0
EdgeCam_2,0.533,0,0,0
EdgeCam_4,0.342,1,1,1
EdgeCam_1,0.589,1,0,1
EdgeCam_2,0.956,0,1,0
EdgeCam_4,0.785,1,0,0
EdgeCam_1,0.546,1,0,0
EdgeCam_1,0.138,1,1,1
EdgeCam_4,0.704,0,1,1
EdgeCam_3,0.55,0,1,1
